Name,Address,Website,Phone Number,Image URL
Amhurst Hotel,"45 Amhurst Park, London, N16 5DL",amhursthotel.co.uk,020 3597 3113 ,"https://c.yell.com/t_bigSquare,f_auto/792afeb9-b97c-46a9-b5a9-26c10f42adc7_image_jpeg.jpg"
Amhurst Hotel,"45 Amhurst Park, London, N16 5DL",amhursthotel.co.uk,020 7101 2135 ,"https://c.yell.com/t_bigSquare,f_auto/792afeb9-b97c-46a9-b5a9-26c10f42adc7_image_jpeg.jpg"
The Whitechapel Hotel,"49-53 New Rd, London, E1 1HH",thewhitechapelhotel.com,02033194175 ,"https://c.yell.com/t_bigRect,f_auto/2be647e8-5b5d-4433-8c37-5e632f12bfab_image_jpeg.jpg"
Trafalgar Hotel,"2 Spring Gardens, London, SW1A 2TS",hilton.com,020 7870 2900 ,"https://c.yell.com/t_bigRect,f_auto/92a736e0-1f9e-49cb-8152-c8b1e5d52580_image_jpeg.jpg"
"St Martin's Lane London, A House Of Originals Hotel","45 St. Martin's Lane, London, WC2N 4HX",sbe.com,020 7300 5500 ,https://www.yell.com/searchfe/yframe/yellbeta/default/_yframe/min/images/yell-dummy.png
www.athensplazaluxurysapartments.com,"57 Trafalgar Square, London, WC2N 5DU",athensplazaluxurysapartments.com,0800 030 4238 ,"https://c.yell.com/t_bigSquare,f_auto/ebaef735-fa8d-407e-809d-387981237177_image_jpeg.jpg"
Corinthia Hotel,"Whitehall Place, London, SW1A 2BD",corinthia.com,020 7930 8181 ,"https://c.yell.com/t_bigSquare,f_auto/63bc2cb2-584f-4ea3-8a2f-02f4448d7fc6_image_jpeg.jpg"
Amistad Hotel Marketing Partnership Ltd,"Golden Cross House Duncannon St, London, WC2N 4JF",amistadpartners.com,020 7484 5000 ,"https://c.yell.com/t_bigSquare,f_auto/79cfc872-c72d-4b5e-9fb3-bb997a7ecc67_image_jpeg.jpg"
The Savoy Hotel,"Strand, London, WC2R 0EZ",thesavoylondon.com,020 7836 4343 ,"https://c.yell.com/t_bigSquare,f_auto/06d6615f-6053-420f-9b60-b3f42cfce01f_image_jpeg.jpg"
Hub By Premier Inn London Covent Garden,"110 St. Martin's Lane, London, WC2N 4BA",premierinn.com,0333 321 3104 ,"https://c.yell.com/t_bigRect,f_auto/e5b0a43b-e7a1-44fa-b9ee-ac62376fe08f_image_jpeg.jpg"
The Grand at Trafalgar Square,"8 Trafalgar Square, London, WC2N 5BY",clubquartershotels.com,020 7451 5555 ,"https://c.yell.com/t_bigSquare,f_auto/713ba855-2bf8-4948-8108-7ff8b48e81ef_image_jpeg.jpg"
